sample,fraction,genus,species,genus_hex,species_hex
E_LR16sONT,0.0020166190006502,Staphylococcus,Staphylococcus haemolyticus,#F89E21,#FFED4D
E_LR16sONT,0.0004053315148891,Staphylococcus,Staphylococcus capitis,#F89E21,#FCB828
E_LR16sONT,0.0100169435498858,Pseudomonas,Pseudomonas aeruginosa,#5C9531,#5C9531
E_LR16sONT,0.0012987007373963,Corynebacterium,Corynebacterium pseudodiphtheriticum,#007884,#00A2BA
E_LR16sONT,0.0002772513328592,Corynebacterium,Corynebacterium tuberculostearicum,#007884,#44CADD
F_LR16sONT,0.551927218050258,Klebsiella,Klebsiella pneumoniae,#D31A55,#E71C57
F_LR16sONT,0.327352089925339,Staphylococcus,Staphylococcus aureus,#F89E21,#F89E21
F_LR16sONT,0.000105995309986,Klebsiella,Klebsiella variicola,#D31A55,#F284A8
F_LR16sONT,0.0551423303756494,Staphylococcus,Staphylococcus epidermidis,#F89E21,#FFE934
F_LR16sONT,0.0465692115744551,Moraxella,Moraxella catarrhalis,#5B33AE,#5B33AE
F_LR16sONT,0.0006011750859631,Staphylococcus,Staphylococcus capitis,#F89E21,#FCB828
F_LR16sONT,0.000162944546214,Staphylococcus,Staphylococcus caprae,#F89E21,#FDD32F
F_LR16sONT,0.0011491171221897,Moraxella,Moraxella nonliquefaciens,#5B33AE,#896AC6
F_LR16sONT,0.0018972481492155,Staphylococcus,Staphylococcus haemolyticus,#F89E21,#FFED4D
F_LR16sONT,0.0111302736911994,Pseudomonas,Pseudomonas aeruginosa,#5C9531,#5C9531
F_LR16sONT,0.0010268307826038,Corynebacterium,Corynebacterium pseudodiphtheriticum,#007884,#00A2BA
F_LR16sONT,0.0024860448915953,Laceyella,Laceyella sacchari,#D33B19,#D33B19
F_LR16sONT,0.000204040050923,Enterobacter,Enterobacter hormaechei,#005D52,#005D52
F_LR16sONT,0.0002454804444269,Corynebacterium,Corynebacterium tuberculostearicum,#007884,#44CADD
A_LR16sKAPA,0.532915558571089,Staphylococcus,Staphylococcus aureus,#F89E21,#F89E21
A_LR16sKAPA,0.124846261649842,Moraxella,Moraxella catarrhalis,#5B33AE,#5B33AE
A_LR16sKAPA,0.0012873790908775,Moraxella,Moraxella nonliquefaciens,#5B33AE,#896AC6
A_LR16sKAPA,0.159185769576457,Corynebacterium,Corynebacterium pseudodiphtheriticum,#007884,#00A2BA
A_LR16sKAPA,0.0011005677934747,Corynebacterium,Corynebacterium propinquum,#007884,#008C9D
A_LR16sKAPA,0.0269568832857043,Pseudomonas,Pseudomonas aeruginosa,#5C9531,#5C9531
A_LR16sKAPA,0.0968227205294962,Staphylococcus,Staphylococcus epidermidis,#F89E21,#FFE934
A_LR16sKAPA,0.0404279366563018,Klebsiella,Klebsiella pneumoniae,#D31A55,#E71C57
A_LR16sKAPA,0.0164569228467571,Corynebacterium,Corynebacterium tuberculostearicum,#007884,#44CADD
B_LR16sKAPA,0.151700444384481,Corynebacterium,Corynebacterium pseudodiphtheriticum,#007884,#00A2BA
B_LR16sKAPA,0.0010464814743685,Corynebacterium,Corynebacterium propinquum,#007884,#008C9D
B_LR16sKAPA,0.519055118237298,Staphylococcus,Staphylococcus aureus,#F89E21,#F89E21
B_LR16sKAPA,0.137279545957151,Moraxella,Moraxella catarrhalis,#5B33AE,#5B33AE
B_LR16sKAPA,0.0012126126910245,Moraxella,Moraxella nonliquefaciens,#5B33AE,#896AC6
B_LR16sKAPA,0.108430088767161,Staphylococcus,Staphylococcus epidermidis,#F89E21,#FFE934
B_LR16sKAPA,0.0135130237940438,Corynebacterium,Corynebacterium tuberculostearicum,#007884,#44CADD
B_LR16sKAPA,0.022195088499247,Pseudomonas,Pseudomonas aeruginosa,#5C9531,#5C9531
B_LR16sKAPA,0.0455675961952256,Klebsiella,Klebsiella pneumoniae,#D31A55,#E71C57
C_LR16sKAPA,0.0684046634969463,Klebsiella,Klebsiella pneumoniae,#D31A55,#E71C57
C_LR16sKAPA,0.117303631457608,Corynebacterium,Corynebacterium pseudodiphtheriticum,#007884,#00A2BA
C_LR16sKAPA,0.0012544034641772,Corynebacterium,Corynebacterium propinquum,#007884,#008C9D
C_LR16sKAPA,0.0987568236015384,Staphylococcus,Staphylococcus epidermidis,#F89E21,#FFE934
C_LR16sKAPA,0.482571945554216,Staphylococcus,Staphylococcus aureus,#F89E21,#F89E21
C_LR16sKAPA,0.170341220777244,Moraxella,Moraxella catarrhalis,#5B33AE,#5B33AE
