sample,fraction,genus,species,genus_hex,species_hex
B_LR16sONT,0.0021481420485006,Staphylococcus,Staphylococcus haemolyticus,#5C9531,#A4CF76
B_LR16sONT,0.0373256220205949,Staphylococcus,Staphylococcus epidermidis,#5C9531,#91C559
B_LR16sONT,8.93698487272375e-05,Staphylococcus,Staphylococcus caprae,#5C9531,#80BC41
B_LR16sONT,0.0003236530239795,Staphylococcus,Staphylococcus capitis,#5C9531,#70AA3A
B_LR16sONT,0.0173975569745651,Pseudomonas,Pseudomonas aeruginosa,#D31A55,#D31A55
B_LR16sONT,0.0001510272891199,Moraxella,Moraxella cuniculi,#252F87,#2B3794
B_LR16sONT,0.0031483790388147,Laceyella,Laceyella sacchari,#5F1A8F,#5F1A8F
B_LR16sONT,0.0008862632708192,Corynebacterium,Corynebacterium pseudodiphtheriticum,#165AB8,#1C7DE1
B_LR16sONT,0.0002237078677763,Corynebacterium,Corynebacterium tuberculostearicum,#165AB8,#3A9BF3
C_LR16sONT,0.568170421381021,Klebsiella,Klebsiella pneumoniae,#BF2524,#BF2524
C_LR16sONT,0.0001271313947146,Klebsiella,Klebsiella variicola,#BF2524,#F33B2F
C_LR16sONT,0.0371844278072561,Pseudomonas,Pseudomonas aeruginosa,#D31A55,#D31A55
C_LR16sONT,0.201461972865898,Moraxella,Moraxella catarrhalis,#252F87,#252F87
C_LR16sONT,0.153184678679095,Staphylococcus,Staphylococcus aureus,#5C9531,#5C9531
C_LR16sONT,0.0016285444710395,Moraxella,Moraxella nonliquefaciens,#252F87,#3240A1
C_LR16sONT,0.0001203946260485,Moraxella,Moraxella cuniculi,#252F87,#2B3794
C_LR16sONT,0.0326063095691559,Staphylococcus,Staphylococcus epidermidis,#5C9531,#91C559
C_LR16sONT,0.0005942594235105,Corynebacterium,Corynebacterium pseudodiphtheriticum,#165AB8,#1C7DE1
C_LR16sONT,0.0002847071587485,Staphylococcus,Staphylococcus capitis,#5C9531,#70AA3A
C_LR16sONT,0.0028048573719828,Laceyella,Laceyella sacchari,#5F1A8F,#5F1A8F
C_LR16sONT,0.0016936348091409,Staphylococcus,Staphylococcus haemolyticus,#5C9531,#A4CF76
C_LR16sONT,0.0001386604424028,Corynebacterium,Corynebacterium tuberculostearicum,#165AB8,#3A9BF3
D_LR16sONT,0.300728593937934,Staphylococcus,Staphylococcus aureus,#5C9531,#5C9531
D_LR16sONT,0.528610174334859,Klebsiella,Klebsiella pneumoniae,#BF2524,#BF2524
D_LR16sONT,0.0001413560094617,Klebsiella,Klebsiella variicola,#BF2524,#F33B2F
D_LR16sONT,8.18767261120496e-05,Klebsiella,Klebsiella quasipneumoniae,#BF2524,#CD2929
D_LR16sONT,9.38099717001735e-05,Staphylococcus,Staphylococcus simiae,#5C9531,#BDDD9B
D_LR16sONT,0.0021531393056867,Moraxella,Moraxella nonliquefaciens,#252F87,#3240A1
D_LR16sONT,0.100649200185856,Moraxella,Moraxella catarrhalis,#252F87,#252F87
D_LR16sONT,0.0145883820116854,Pseudomonas,Pseudomonas aeruginosa,#D31A55,#D31A55
D_LR16sONT,0.0457862390365657,Staphylococcus,Staphylococcus epidermidis,#5C9531,#91C559
D_LR16sONT,0.0001026040584692,Staphylococcus,Staphylococcus caprae,#5C9531,#80BC41
D_LR16sONT,0.0004224019984154,Staphylococcus,Staphylococcus capitis,#5C9531,#70AA3A
D_LR16sONT,0.0021941001185601,Staphylococcus,Staphylococcus haemolyticus,#5C9531,#A4CF76
D_LR16sONT,0.0003039345729853,Corynebacterium,Corynebacterium tuberculostearicum,#165AB8,#3A9BF3
D_LR16sONT,0.0026311195958162,Laceyella,Laceyella sacchari,#5F1A8F,#5F1A8F
D_LR16sONT,0.0014354790444866,Corynebacterium,Corynebacterium pseudodiphtheriticum,#165AB8,#1C7DE1
D_LR16sONT,7.75890914367541e-05,Enterobacter,Enterobacter hormaechei,#046CB5,#046CB5
E_LR16sONT,0.0712419874086962,Moraxella,Moraxella catarrhalis,#252F87,#252F87
E_LR16sONT,0.349075261268639,Staphylococcus,Staphylococcus aureus,#5C9531,#5C9531
E_LR16sONT,0.49532379849666,Klebsiella,Klebsiella pneumoniae,#BF2524,#BF2524
E_LR16sONT,0.001686719822499,Moraxella,Moraxella nonliquefaciens,#252F87,#3240A1
E_LR16sONT,0.0001546440501195,Klebsiella,Klebsiella variicola,#BF2524,#F33B2F
E_LR16sONT,0.0657885921815608,Staphylococcus,Staphylococcus epidermidis,#5C9531,#91C559
E_LR16sONT,0.0001374437270943,Staphylococcus,Staphylococcus caprae,#5C9531,#80BC41
E_LR16sONT,0.0025767069090511,Laceyella,Laceyella sacchari,#5F1A8F,#5F1A8F
E_LR16sONT,0.0020166190006502,Staphylococcus,Staphylococcus haemolyticus,#5C9531,#A4CF76
E_LR16sONT,0.0004053315148891,Staphylococcus,Staphylococcus capitis,#5C9531,#70AA3A
E_LR16sONT,0.0100169435498858,Pseudomonas,Pseudomonas aeruginosa,#D31A55,#D31A55
E_LR16sONT,0.0012987007373963,Corynebacterium,Corynebacterium pseudodiphtheriticum,#165AB8,#1C7DE1
E_LR16sONT,0.0002772513328592,Corynebacterium,Corynebacterium tuberculostearicum,#165AB8,#3A9BF3
F_LR16sONT,0.551927218050258,Klebsiella,Klebsiella pneumoniae,#BF2524,#BF2524
F_LR16sONT,0.327352089925339,Staphylococcus,Staphylococcus aureus,#5C9531,#5C9531
F_LR16sONT,0.000105995309986,Klebsiella,Klebsiella variicola,#BF2524,#F33B2F
F_LR16sONT,0.0551423303756494,Staphylococcus,Staphylococcus epidermidis,#5C9531,#91C559
F_LR16sONT,0.0465692115744551,Moraxella,Moraxella catarrhalis,#252F87,#252F87
F_LR16sONT,0.0006011750859631,Staphylococcus,Staphylococcus capitis,#5C9531,#70AA3A
F_LR16sONT,0.000162944546214,Staphylococcus,Staphylococcus caprae,#5C9531,#80BC41
F_LR16sONT,0.0011491171221897,Moraxella,Moraxella nonliquefaciens,#252F87,#3240A1
F_LR16sONT,0.0018972481492155,Staphylococcus,Staphylococcus haemolyticus,#5C9531,#A4CF76
F_LR16sONT,0.0111302736911994,Pseudomonas,Pseudomonas aeruginosa,#D31A55,#D31A55
F_LR16sONT,0.0010268307826038,Corynebacterium,Corynebacterium pseudodiphtheriticum,#165AB8,#1C7DE1
F_LR16sONT,0.0024860448915953,Laceyella,Laceyella sacchari,#5F1A8F,#5F1A8F
F_LR16sONT,0.000204040050923,Enterobacter,Enterobacter hormaechei,#046CB5,#046CB5
F_LR16sONT,0.0002454804444269,Corynebacterium,Corynebacterium tuberculostearicum,#165AB8,#3A9BF3
A_LR16sKAPA,0.532915558571089,Staphylococcus,Staphylococcus aureus,#5C9531,#5C9531
A_LR16sKAPA,0.124846261649842,Moraxella,Moraxella catarrhalis,#252F87,#252F87
A_LR16sKAPA,0.0012873790908775,Moraxella,Moraxella nonliquefaciens,#252F87,#3240A1
A_LR16sKAPA,0.159185769576457,Corynebacterium,Corynebacterium pseudodiphtheriticum,#165AB8,#1C7DE1
