Acinetobacter baumannii,Bacillus A anthracis,Bacillus A cereus,Bacillus A thuringiensis S,Bacillus A wiedmannii,Clostridium H botulinum A,Corynebacteriaceae genera,Corynebacterium kefirresidentii,Corynebacterium propinquum,Corynebacterium pseudodiphtheriticum,Corynebacterium sp022288805,Corynebacterium spp,Corynebacterium tuberculostearicum,Enterobacter hormaechei,Enterobacteriaceae genera,Escherichia coli,Shigella spp,Gammaproteobacteria order,Klebsiella africana,Klebsiella pneumoniae,Klebsiella quasipneumoniae,Klebsiella spp,Klebsiella variicola,Laceyella sacchari,Moraxella catarrhalis,Moraxella cuniculi,Moraxella nonliquefaciens,Moraxella spp,Mycobacterium tuberculosis,Pseudomonas E viridiflava,Pseudomonas aeruginosa,Pseudomonas aeruginosa A,Pseudomonas spp,Spirillospora cremea,Staphylococcus aureus,Staphylococcus capitis,Staphylococcus caprae,Staphylococcus epidermidis,Staphylococcus haemolyticus,Staphylococcus simiae,Staphylococcus spp
0.0,0.01378145981389142,0.0,0.0,0.0029447563704885094,0.0,0.0,0.0919549255958229,0.0,0.11154737131414649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030232832070347933,0.22313400604656755,0.0025913856060302306,0.0,0.003965605245591631,0.0,0.07577839726726553,0.0,0.0,0.0,0.0,0.0,0.26106246809847417,0.0032981271349482155,0.0,0.0,0.11205779575169875,0.0,0.0,0.09486041854803968,0.0,0.0,0.0
0.0,0.024414763751256535,0.0,0.0,0.006271243238067885,0.0,0.0,0.09952606635071096,0.0,0.11091962276796394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21398822346689644,0.0,0.0,0.0,0.0,0.0877974053329504,0.0,0.0,0.0,0.0,0.0,0.2814878644262531,0.0,0.0,0.0,0.12422806261668824,0.0,0.0,0.05136674804921237,0.0,0.0,0.0
0.0,0.02828847611827133,0.0,0.0,0.006965504169825583,0.0,0.0,0.09908074298711136,0.0,0.11007391963608787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21294541319181207,0.0,0.0,0.0,0.0,0.08690295678544352,0.0,0.0,0.0,0.0,0.0,0.28023123578468545,0.0,0.0,0.0,0.12324677786201668,0.0,0.0,0.05226497346474594,0.0,0.0,0.0
0.0,0.022474722194413693,0.0,0.0,0.005255781359495388,0.0,0.0,0.10676744418860745,0.0,0.13279607568325164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22234457903694077,0.0,0.0,0.0,0.0,0.09210131144258688,0.0,0.0,0.0,0.0,0.0,0.2164881369506459,0.0,0.0,0.0,0.13925317849634603,0.0,0.0,0.06251877064771241,0.0,0.0,0.0
0.0,0.02446150037137907,0.0,0.0,0.005743996038623306,0.0,0.0,0.10591730626392673,0.0,0.1314186679871255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22094577865808387,0.0,0.0,0.0,0.0,0.09111166130230258,0.0,0.0,0.0,0.0,0.0,0.21624164397128004,0.0,0.0,0.0035157217132952504,0.13775687051250313,0.0,0.0,0.06288685318148053,0.0,0.0,0.0
0.0,0.010485133020343923,0.0,0.0,0.0020344287949904823,0.0,0.0,0.09577464788732382,0.002973395931142228,0.1164319248826289,0.0021126760563374837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023865414710484826,0.22233959311424215,0.0029342723004687275,0.0,0.004264475743348468,0.0,0.07558685446009371,0.0,0.0,0.0,0.0,0.0,0.25172143974961164,0.0,0.0,0.0028169014084499784,0.11361502347417894,0.0,0.0,0.09452269170579107,0.0,0.0,0.0
0.007184284377919955,0.010028063610847671,0.0,0.00797006548175415,0.0,0.0020205799812910152,0.0,0.0916744621141281,0.0028811973807297817,0.11146866230121631,0.002057998129092701,0.0,0.0,0.0,0.0,0.01747427502338116,0.0,0.0,0.002207670720299443,0.21403180542563652,0.0027315247895230398,0.0,0.004078578110383716,0.0,0.07232927970065668,0.0,0.0,0.0,0.008606173994387012,0.0029934518241348383,0.24082319925164145,0.0,0.0,0.0022450888681011284,0.10679139382600666,0.0,0.0,0.09040224508886877,0.0,0.0,0.0
0.0,0.017458142167669558,0.0,0.0,0.0032771256628729836,0.0,0.0,0.11994279926115717,0.0,0.15468033128761244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2043138890544003,0.0,0.0,0.0,0.0,0.10874098790442714,0.0,0.0,0.0,0.0,0.0,0.1819102663409402,0.0,0.0,0.0,0.1491390097122089,0.0,0.0,0.0605374486087111,0.0,0.0,0.0
0.0,0.02013265246228789,0.0,0.0,0.003873921465046629,0.0,0.0,0.11844808358279041,0.0,0.15243294007160893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20367435581381704,0.0,0.0,0.0,0.0,0.10723718964606443,0.0,0.0,0.0,0.0,0.0,0.18207430885719317,0.0,0.0,0.003873921465046629,0.14744379879086691,0.0,0.0,0.0608088278452778,0.0,0.0,0.0
0.0,0.007880315212608369,0.0,0.0,0.002040081603263243,0.0,0.0,0.09252370094803844,0.0,0.11440457618304738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22532901316052742,0.0024800992039675923,0.0,0.0033201328053113536,0.0,0.07636305452218103,0.0,0.0,0.0,0.0,0.0,0.2597303892155704,0.002280091203647886,0.0,0.002840113604543312,0.114164566582664,0.0,0.0,0.09664386575462985,0.0,0.0,0.0
